<Wyl_Present>	<Wyl_Past>	<Wyl_Future>	<Wyl_Imperative>
g.yo	g.yos	g.yo	
g.yo	g.yos	g.yo	g.yos
g.yog	g.yogs	g.yog	g.yogs
g.yob	g.yabs	g.yab	g.yobs
g.yor	g.yor	g.yor	g.yor
g.yol	g.yol	g.yol	g.yol
rag	rag	rag	rag
rang	rangs	rang	
ran	ran	ran	ran
ral	ral	ral	
ri	ri	ri	ri
rig	rig	rig	rig
rigs	rigs	rigs	rigs
ring	ring	ring	
rings	rings	rings	rings
rid	rid	rid	rid
ril	ril	ril	ril
rug	rugs	rug	rugs
rug 	rug	rug 	rug
rung	rung	rung	rung
rud 	rud	rud 	
rub	rubs	rub	rubs
rum 	rum	rum 	rum
rul	rul	rul	rul
re	re (res)	re	re (res)
reg	reg	reg	
reg	reg	reg	
regs	regs	regs	regs
reng	rengs	reng	rengs
red	red	red	red
rem	rems	rem	rems
rol	rol	rol	
rol	rol	rol	
rlam	brlams	brlam	rlams
rling	brlings	brling	rlings
rlug	rlugs	rlug	rlugs
rlug 	rlugs	rlug 	
rlug	brlugs	brlug	rlugs
rlug	brlugs	brlug	rlugs
rlog	brlags	brlag	rlogs (lhogs)
rlon	brlan	brlan	rlon
rlob	brlabs (rlabs)	brlab	rlobs
rlom	brlams	brlam	
rlom	brlams	brlam	rloms
brlag	brlags	brlag	
lags	lags	lags	lags
lang  	longs	lang  	
lang	langs	lang	longs
lang	langs	lang	longs
lad 	lad	lad 	
lab	lab (labs)	lab	lob
lam	lams	lam	lams
las	las	las	los
lu	lu	lu	lu
lug 	lug	lug 	
lug	lugs	lug	lugs
lud 	lud	lud 	
lum	lum	lum	lum
lus	lus	lus	
legs	legs	legs	
len	blangs (glangs)	blang	long (longs)
len	blangs (glangs)	blang	long (longs)
lo	lo	lo	lo
log	log	log	log
log	log	log	log
log	log	log	log
long	longs	long	longs
long	longs	long	longs
lon	lon	lon	lon
lon	lon	lon	lon
lobs 	lobs	lobs 	
shad	shad	shad	shad
shad	bshad	bshad	shod
shab	shabs	shab	shobs
shal	shal	shal	shal
shig	bshigs	bshig	shigs
shib	shibs	shib	shibs
shil	shil	shil	shil
shis	shis	shis	shis
shis	shis	shis	shis
shug	bshugs	bshug	shugs
shud (bshud)	bshud	bshud	shud
shub	bshubs	gshub (bshub)	shubs
shum	bshums	bshum	shums
shul	bshul	bshul	shul
she	she	she	she
sher	bsher	bsher	sher
shes	shes	shes	shes
shes	shes	shes	shes
shong  	shong	shong  	
shong	shongs	shong	shongs
shom 	shom	shom 	
shol	bshol	bshol	shol
gshang	bshangs	bshang	gshangs
gshar	bshar	gshar	gshor
gshal	bshal	bshal	gshal
gshin	bshin	bshin	gshin
gshib	bshibs	bshib	gshibs
gshib	gshibs	gshib	gshibs
gshug	bshugs	bshug	gshugs
gshung	bshungs	bshung	gshungs (shungs)
gshur	bshur	bshur	gshur
gshe	gshes	gshe	gshes
gshegs	gshegs	gshegs	gshegs
gsher	gsher	gsher	gsher
gsho	bshos	bsho	gshos
gsho	gshos	bsho	shos
gshog	gshags	gshag	gshogs
gshong	bshangs	bshang	shongs
gshom	bshams	bsham	shoms
gshor	bshar	bshar	gshor
gshor	bshor	bshor	gshor
bsha'	bshas	bsha'	bshas (bshos)
bshal	bshal	bshal	
bshal	bshal	bshal	bshol
bshu	bshus	bshu	shus
bshu	bshus	bshu	shus
bshud	bshud	bshud	shud
bshud 	bshud	bshud 	
bshud	bshud	bshud	shud
bshud 	bshud	bshud 	shud
bshum	bshums	bshum	shums
bshur  	bshur	bshur  	shur
bshol  	bshol	bshol  	shol
sang	sangs	sang	
sang	bsangs	bsang	sangs
sangs 	sangs	sangs 	
sad	sad	sad	sad
sing	bsings	bsing	sings
sim	sims	sim	
sim	sims	sim	
sil	gsil	gsil	sil
sun	bsun	bsun	sun
sub	bsubs	bsub	subs
sub	bsubs	bsub	subs
sum	bsums	bsum	sums
seg 	seg	seg 	
seng  	sengs	seng  	
sems	bsams	bsam	soms
sems	bsams	bsam	soms
sems	bsams	bsam	soms
sel	bsal	bsal	sol
sel	bsal	bsal	sol
sogs 	sogs	sogs 	
song	song	song	song
song	song	song	song
son	son	son	
son	bson	bson	son
sos	sos	sos	sos
sos	sos	sos	sos
sra	bsra	bsra	sra
sran	bsran	bsran	sran (sron)
srab	bsrabs	bsrab	srobs
sri	bsris	bsri	sris
sring	bsrings	bsring	srings
srid	srid	srid	srid
srib 	srib	srib 	
srung	bsrungs	bsrung	srungs
srun	bsrun	bsrun	srun
srub	bsrubs	bsrub	srubs
srul	bsrul	bsrul	srul
sre	bsres	bsre	sres
sreg	bsregs	bsreg	sregs
sred	sred	sred	sred
srel	bsrel	bsrel	srel
sro	bsros (sros)	bsro	sros
srong	bsrangs	bsrang	srongs
sros 	sros	sros 	
sla	sla	sla	
sla	sla	sla	
sla	bslas	bsla	slas (slos)
slag	bslags	bslag	slags
slang	slangs	slang	
slad	bslad	bslad	slod
slu	bslus	bslu	slus
slu	bslus	bslu	slus
sleb	bslebs	bsleb	slebs
sleb	slebs	sleb	
slog	bslogs	bslog	slogs
slong	bslangs	bslang	slongs
slong	bslangs	bslang	slongs
slong	bslangs	bslang	slongs
slon	bslan	bslan	slon
slob	bslabs	bslab	slobs
gsang	gsangs	gsang	gsongs
gsan	gsan	gsan	gson
gsan	gsan	gsan	gson
gsan	bsan	bsan	gsan
gsab ('tshab)	bsabs	bsab	gsabs ('tshobs)
gsal	gsal	gsal	gsal
gsig	gsigs (bsigs)	gsig (bsig)	gsigs
gsig	bsigs	gsig	sigs
gsir	bsir (gsir)	bsir (gsir)	gsir
gsir  	gsir	gsir  	gsir
gsil	gsil	gsil	gsil
gsil  	gsil	gsil  	gsil
gsung	gsungs	gsung	gsungs
gsung	gsungs	gsung	gsungs
gsung	gsungs	gsung	gsungs
gse	gses	gse	gses
gsed	bsed	gsed	sed
gses	bsed	gsed	ses
gso	gsos	gso	gsos
gso	gsos	gso	gsos
gso	bsos	bso	gsos
gsog	bsags	bsag (gsag)	sog
gsog	bsogs	bsog	sog
gsong	gsangs	gsang	gsongs
gsod	bsad	gsad	sod
gson	gsan	gsan	gson
gson	gson	gson	gson
gson	gson	gson	gson
gsob	bsabs	bsab	sobs
gsor	bsar	bsar	gsor
gsor	bsar	bsar	gsor
gsor	gsor	gsor  	gsor
gsol	gsol	gsol	gsol
gsol	gsol	gsol	gsol
gsol	gsol	gsol	gsol
bsang (gsing)	bsangs	bsang	songs
bsing	bsings	bsing	bsings
bsir  	bsir	bsir  	bsir
bsil  	bsil	bsil  	
bsu	bsus	bsu	bsus
hang	hangs	hang	hangs
hab	habs	hab	hab
har	har	har	har
has	has	has	has
hral	hral	hral	hrol
hrings 	hrings	hrings 	
hrul	hrul	hrul	hrul
hreng	hrengs	hreng	hrengs
hrem	hrems	hrem	hrems
lhag	lhag	lhag	lhag
lhags	lhags	lhags	lhags
lhung	lhungs	lhung	lhungs
lhong	lhongs	lhong	lhongs
lhod 	lhod	lhod 	lhod
lhon 	lhon	lhon 	
ub	ubs	ub	ubs


